geo_point_2d,fenomeno,taxonomia,intensidad,alcaldia,area_m2,period_ret,intens_num,int2
"19.3434032903,-98.982891836",Hidrometeorológicos,Precipitación,Muy Bajo,Iztapalapa,156149.558731,5 años,41 a 54,1
"19.3664666231,-99.1124787316",Hidrometeorológicos,Precipitación,Bajo,Iztapalapa,234807.292431,5 años,54 a 60,2
"19.3398864599,-99.0376280486",Hidrometeorológicos,Precipitación,Muy Bajo,Iztapalapa,445195.548899,5 años,41 a 54,1
"19.3390222204,-99.0039751468",Hidrometeorológicos,Precipitación,Muy Bajo,Iztapalapa,272474.952569,5 años,41 a 54,1
"19.4079381484,-99.0602448334",Hidrometeorológicos,Precipitación,Bajo,Iztacalco,276058.590272,5 años,54 a 60,2
"19.3738300769,-99.0079140803",Hidrometeorológicos,Precipitación,Muy Bajo,Iztapalapa,50342.6152522,5 años,41 a 54,1
"19.3162768206,-99.0910523881",Hidrometeorológicos,Precipitación,Bajo,Iztapalapa,103017.373973,5 años,54 a 60,2
"19.3608040078,-99.2163853369",Hidrometeorológicos,Precipitación,Medio,Álvaro Obregón,598161.015754,5 años,60 a 64,3
"19.3560901666,-99.2266615256",Hidrometeorológicos,Precipitación,Medio,Álvaro Obregón,791608.743105,5 años,60 a 64,3
"19.3635563955,-99.0014518016",Hidrometeorológicos,Precipitación,Muy Bajo,Iztapalapa,117314.689553,5 años,41 a 54,1
"19.3304549227,-99.0851230573",Hidrometeorológicos,Precipitación,Bajo,Iztapalapa,132262.971729,5 años,54 a 60,2
"19.3186413541,-99.0858034644",Hidrometeorológicos,Precipitación,Bajo,Iztapalapa,196949.124769,5 años,54 a 60,2
"19.3502145272,-99.0960935149",Hidrometeorológicos,Precipitación,Bajo,Iztapalapa,173241.273875,5 años,54 a 60,2
"19.29256675,-99.1138069351",Hidrometeorológicos,Precipitación,Bajo,Tlalpan,324220.15851,5 años,54 a 60,2
"19.3459138349,-99.0530517273",Hidrometeorológicos,Precipitación,Muy Bajo,Iztapalapa,207040.95251,5 años,41 a 54,1
"19.3320815221,-99.0241754072",Hidrometeorológicos,Precipitación,Muy Bajo,Iztapalapa,153628.389328,5 años,41 a 54,1
"19.3221437358,-99.067973125",Hidrometeorológicos,Precipitación,Bajo,Iztapalapa,598085.677649,5 años,54 a 60,2
"19.3852442593,-99.0790517191",Hidrometeorológicos,Precipitación,Bajo,Iztapalapa,570480.007479,5 años,54 a 60,2
"19.3729075263,-99.1198318378",Hidrometeorológicos,Precipitación,Bajo,Iztapalapa,220502.750048,5 años,54 a 60,2
"19.3222719977,-99.0450263117",Hidrometeorológicos,Precipitación,Muy Bajo,Iztapalapa,77865.3777549,5 años,41 a 54,1
"19.3319462363,-98.9938718025",Hidrometeorológicos,Precipitación,Muy Bajo,Iztapalapa,497499.947215,5 años,41 a 54,1
"19.3256208231,-99.0486371755",Hidrometeorológicos,Precipitación,Muy Bajo,Iztapalapa,118590.928267,5 años,41 a 54,1
"19.3401530809,-99.0419850561",Hidrometeorológicos,Precipitación,Muy Bajo,Iztapalapa,274561.505827,5 años,41 a 54,1
"19.4758916268,-99.0815895695",Hidrometeorológicos,Precipitación,Bajo,Gustavo A. Madero,280489.979226,5 años,54 a 60,2
"19.4214984358,-99.1405270444",Hidrometeorológicos,Precipitación,Bajo,Cuauhtémoc,356552.386009,5 años,54 a 60,2
"19.4586836864,-99.1258972625",Hidrometeorológicos,Precipitación,Bajo,Cuauhtémoc,272796.20048,5 años,54 a 60,2
"19.3590419785,-99.1474205376",Hidrometeorológicos,Precipitación,Bajo,Benito Juárez,280533.872495,5 años,54 a 60,2
"19.2602911822,-99.0976968264",Hidrometeorológicos,Precipitación,Bajo,Xochimilco,193874.809681,5 años,54 a 60,2
"19.3804094569,-99.1487503632",Hidrometeorológicos,Precipitación,Bajo,Benito Juárez,282519.247758,5 años,54 a 60,2
"19.3885146625,-99.1879324979",Hidrometeorológicos,Precipitación,Alto,Benito Juárez,300298.30941,5 años,64 a 70,4
"19.3846502914,-99.1626336918",Hidrometeorológicos,Precipitación,Medio,Benito Juárez,267398.06263,5 años,60 a 64,3
"19.2633072327,-99.1265216306",Hidrometeorológicos,Precipitación,Medio,Xochimilco,137918.423827,5 años,60 a 64,3
"19.3834234537,-99.146122023",Hidrometeorológicos,Precipitación,Bajo,Benito Juárez,147112.36011,5 años,54 a 60,2
"19.3716755473,-99.1390598313",Hidrometeorológicos,Precipitación,Bajo,Benito Juárez,286994.729481,5 años,54 a 60,2
"19.3915095885,-99.2078496208",Hidrometeorológicos,Precipitación,Alto,Álvaro Obregón,109992.706236,5 años,64 a 70,4
"19.2644969284,-99.101076724",Hidrometeorológicos,Precipitación,Bajo,Xochimilco,237807.509467,5 años,54 a 60,2
